size,impl,insert_ms,traverse_ms,search_ms,mem_kb,majflt,minflt
100,standard,0.024,0.012,0.012,2.4,0,0
100,cache,0.024,0.011,0.011,2.4,0,0
100,batch,0.018,0.012,0.012,2.4,0,0
100,pool,0.015,0.012,0.012,4.8,0,0
1000,standard,0.245,0.128,0.128,24.0,0,0
1000,cache,0.245,0.098,0.098,24.0,0,0
1000,batch,0.172,0.128,0.128,24.0,0,0
1000,pool,0.143,0.128,0.128,32.0,0,0
10000,standard,2.473,1.354,1.354,240.0,0,0
10000,cache,2.473,0.892,0.892,240.0,0,0
10000,batch,1.684,1.354,1.354,240.0,0,0
10000,pool,1.421,1.354,1.354,256.0,0,0
100000,standard,24.918,13.782,13.782,2400.0,0,0
100000,cache,24.918,8.341,8.341,2400.0,0,0
100000,batch,16.743,13.782,13.782,2400.0,0,0
100000,pool,14.102,13.782,13.782,2048.0,0,0